0.0125 65478.5 16172.7 -4469.98 8338.18 17458.5 0 358
0.0175 68394.2 14360.3 -5520.35 5972.65 13184.5 0 728
0.0225 66834 22926.1 12584.4 4344.42 9696.14 0 1160
0.0275 50586 17827 5451.81 3274.77 7389.8 0 1704
0.0325 48467.6 8825.14 -3559.49 2421.13 5625.25 0 2430
0.0375 45143.5 12346.7 -4577.33 1856.27 4438.98 0 3274
0.0425 39401.1 13421.4 1578.73 1453.67 3519.69 0 4102
0.0475 36206.5 14556.1 4890.78 1247.47 2834.74 0 5204
0.0525 32734.3 11974.4 4259.36 1036.62 2341.75 0 6308
0.0575 31292.9 8508.69 883.733 909.423 2017.23 0 7612
0.0625 29971.9 10113.7 1997.79 765.273 1804.28 0 8974
0.0675 28979.3 9402.64 886.989 665.927 1622.38 0 10424
0.0725 25594 10161.2 -862.302 591.659 1406.13 0 12104
0.0775 23726.3 7392.57 818.092 543.065 1176.18 0 13808
0.0825 22333.4 5809.32 2028.18 452.531 1083.03 0 15564
0.0875 20277.9 6233.28 2279.17 394.372 913.895 0 17488
0.0925 18444.5 7666.76 972.54 347.656 777.756 0 19704
0.0975 17701.8 6272.7 2414.82 313.955 683.78 0 21814
0.1025 16358.2 5610.64 1697.7 275.341 633.774 0 24010
0.1075 14918.4 4803.32 888.626 252.095 594.517 0 26562
0.1125 13922.9 4549.41 -644.283 235.1 523.345 0 29084
0.1175 13833.1 4534.23 -1003.79 220.852 502.923 0 31728
0.1225 13577.5 4388.53 296.695 204.082 462.647 0 34234
0.1275 12946.1 3961.44 -402.612 185.045 405.079 0 37592
0.1325 11929.7 3119.9 -465.728 186.341 382.518 0 40234
0.1375 11370.6 3160.39 -525.513 168.967 371.823 0 43180
0.1425 10807.3 3013.73 175.68 144.138 330.639 0 46674
0.1475 10379 2684.4 303.39 142.479 299.503 0 49648
0.1525 9798.29 2368.61 418.704 129.145 273.761 0 53430
0.1575 9010.35 2446.72 166.76 122.675 275.473 0 57004
0.1625 8721.44 1847.39 515.64 117.992 253.683 0 60498
0.1675 8506.99 2262.16 493.776 106.7 236.017 0 64314
0.1725 8178.73 2184.51 141.65 102.682 227.223 0 68396
0.1775 7839.76 1973.89 311.516 98.615 216.507 0 72238
0.1825 7577.44 1782.85 486.438 94.8408 204.282 0 76268
0.1875 7410.94 1544.57 337.636 90.8334 200.391 0 80682
0.1925 7215.91 1655.74 526.944 88.1303 183.194 0 84758
0.1975 7003.52 1440.07 725.636 83.3106 177.337 0 89634
