  1.000E-04 -8.419E-05  5.816E+02  9.424E+01 -1.602E-04 -4.846E-03
  1.052E-04 -9.704E-05  6.055E+02  9.812E+01 -1.863E-04 -5.364E-03
  1.107E-04 -1.119E-04  6.307E+02  1.022E+02 -2.165E-04 -5.939E-03
  1.165E-04 -1.291E-04  6.572E+02  1.065E+02 -2.517E-04 -6.574E-03
  1.226E-04 -1.490E-04  6.851E+02  1.110E+02 -2.926E-04 -7.278E-03
  1.290E-04 -1.720E-04  7.144E+02  1.158E+02 -3.402E-04 -8.057E-03
  1.357E-04 -1.986E-04  7.453E+02  1.208E+02 -3.954E-04 -8.920E-03
  1.428E-04 -2.295E-04  7.778E+02  1.260E+02 -4.596E-04 -9.875E-03
  1.502E-04 -2.652E-04  8.120E+02  1.316E+02 -5.343E-04 -1.093E-02
  1.580E-04 -3.066E-04  8.479E+02  1.374E+02 -6.211E-04 -1.210E-02
  1.663E-04 -3.546E-04  8.858E+02  1.435E+02 -7.220E-04 -1.340E-02
  1.750E-04 -4.102E-04  9.256E+02  1.500E+02 -8.392E-04 -1.483E-02
  1.841E-04 -4.746E-04  9.675E+02  1.568E+02 -9.755E-04 -1.642E-02
  1.937E-04 -5.494E-04  1.012E+03  1.639E+02 -1.134E-03 -1.818E-02
  2.038E-04 -6.361E-04  1.058E+03  1.714E+02 -1.318E-03 -2.012E-02
  2.144E-04 -7.366E-04  1.107E+03  1.793E+02 -1.532E-03 -2.228E-02
  2.256E-04 -8.533E-04  1.158E+03  1.877E+02 -1.781E-03 -2.466E-02
  2.374E-04 -9.887E-04  1.212E+03  1.964E+02 -2.070E-03 -2.730E-02
  2.498E-04 -1.146E-03  1.269E+03  2.056E+02 -2.406E-03 -3.022E-02
  2.628E-04 -1.328E-03  1.329E+03  2.153E+02 -2.796E-03 -3.346E-02
  2.765E-04 -1.540E-03  1.392E+03  2.255E+02 -3.250E-03 -3.704E-02
  2.909E-04 -1.786E-03  1.458E+03  2.362E+02 -3.777E-03 -4.101E-02
  3.061E-04 -2.072E-03  1.527E+03  2.475E+02 -4.389E-03 -4.539E-02
  3.221E-04 -2.404E-03  1.601E+03  2.594E+02 -5.101E-03 -5.025E-02
