  1.000E-04  1.154E+03  2.967E+02  3.433E+01 -6.544E-05 -2.555E-03
  1.052E-04  1.201E+03  3.089E+02  3.574E+01 -7.608E-05 -2.829E-03
  1.107E-04  1.251E+03  3.217E+02  3.723E+01 -8.843E-05 -3.132E-03
  1.165E-04  1.304E+03  3.352E+02  3.880E+01 -1.028E-04 -3.467E-03
  1.226E-04  1.359E+03  3.495E+02  4.044E+01 -1.195E-04 -3.838E-03
  1.290E-04  1.417E+03  3.644E+02  4.217E+01 -1.389E-04 -4.249E-03
  1.357E-04  1.478E+03  3.802E+02  4.400E+01 -1.615E-04 -4.704E-03
  1.428E-04  1.543E+03  3.968E+02  4.591E+01 -1.877E-04 -5.207E-03
  1.502E-04  1.611E+03  4.142E+02  4.793E+01 -2.182E-04 -5.765E-03
  1.580E-04  1.682E+03  4.325E+02  5.005E+01 -2.537E-04 -6.382E-03
  1.663E-04  1.757E+03  4.518E+02  5.229E+01 -2.949E-04 -7.065E-03
  1.750E-04  1.836E+03  4.721E+02  5.464E+01 -3.427E-04 -7.822E-03
  1.841E-04  1.919E+03  4.935E+02  5.711E+01 -3.984E-04 -8.659E-03
  1.937E-04  2.006E+03  5.160E+02  5.971E+01 -4.631E-04 -9.586E-03
  2.038E-04  2.098E+03  5.396E+02  6.245E+01 -5.383E-04 -1.061E-02
  2.144E-04  2.195E+03  5.645E+02  6.533E+01 -6.257E-04 -1.175E-02
  2.256E-04  2.297E+03  5.907E+02  6.836E+01 -7.273E-04 -1.301E-02
  2.374E-04  2.404E+03  6.183E+02  7.155E+01 -8.453E-04 -1.440E-02
  2.498E-04  2.517E+03  6.472E+02  7.490E+01 -9.825E-04 -1.594E-02
  2.628E-04  2.635E+03  6.777E+02  7.843E+01 -1.142E-03 -1.764E-02
  2.765E-04  2.760E+03  7.098E+02  8.215E+01 -1.327E-03 -1.953E-02
  2.909E-04  2.892E+03  7.436E+02  8.605E+01 -1.542E-03 -2.162E-02
  3.061E-04  3.030E+03  7.791E+02  9.016E+01 -1.793E-03 -2.394E-02
  3.221E-04  3.175E+03  8.165E+02  9.449E+01 -2.083E-03 -2.650E-02
  3.389E-04  3.328E+03  8.558E+02  9.904E+01 -2.421E-03 -2.934E-02
  3.566E-04  3.489E+03  8.972E+02  1.038E+02 -2.813E-03 -3.248E-02
  3.752E-04  3.658E+03  9.408E+02  1.089E+02 -3.269E-03 -3.595E-02
  3.947E-04  3.836E+03  9.866E+02  1.142E+02 -3.799E-03 -3.980E-02
  4.153E-04  4.024E+03  1.035E+03  1.198E+02 -4.414E-03 -4.406E-02
  4.370E-04  4.221E+03  1.085E+03  1.256E+02 -5.129E-03 -4.877E-02
  4.598E-04  4.429E+03  1.139E+03  1.318E+02 -5.959E-03 -5.399E-02
  4.838E-04  4.647E+03  1.195E+03  1.383E+02 -6.923E-03 -5.977E-02
  5.090E-04  4.877E+03  1.254E+03  1.451E+02 -8.042E-03 -6.616E-02
  5.356E-04  5.118E+03  1.316E+03  1.523E+02 -9.342E-03 -7.324E-02
  5.635E-04  5.371E+03  1.381E+03  1.599E+02 -1.085E-02 -8.108E-02
  5.929E-04  5.636E+03  1.449E+03  1.677E+02 -1.260E-02 -8.975E-02
  6.239E-04  5.915E+03  1.521E+03  1.760E+02 -1.464E-02 -9.934E-02
  6.564E-04  6.206E+03  1.596E+03  1.847E+02 -1.700E-02 -1.100E-01
  6.907E-04  6.511E+03  1.674E+03  1.938E+02 -1.974E-02 -1.217E-01
  7.267E-04  6.831E+03  1.757E+03  2.033E+02 -2.292E-02 -1.347E-01
  7.646E-04  7.165E+03  1.843E+03  2.132E+02 -2.660E-02 -1.491E-01
  8.045E-04  7.516E+03  1.933E+03  2.237E+02 -3.088E-02 -1.651E-01
  8.465E-04  7.882E+03  2.027E+03  2.346E+02 -3.584E-02 -1.827E-01
  8.906E-04  8.266E+03  2.126E+03  2.460E+02 -4.160E-02 -2.022E-01
